switch_id,used_rules,usage
49,1659,5.01208
48,1146,3.46224
47,413,1.24773
46,846,2.55589
45,1277,3.85801
44,1172,3.54079
43,2088,6.30816
42,1041,3.14502
41,733,2.2145
40,390,1.17825
39,715,2.16012
38,1157,3.49547
37,1409,4.2568
36,638,1.92749
35,680,2.05438
34,1427,4.31118
33,772,2.33233
32,1088,3.28701
31,1662,5.02115
30,1036,3.12991
29,887,2.67976
28,1387,4.19033
27,1083,3.2719
26,611,1.84592
25,1185,3.58006
24,1791,5.41088
23,1302,3.93353
22,1181,3.56798
21,1513,4.571
20,771,2.32931
19,918,2.77341
18,1069,3.22961
17,759,2.29305
16,1098,3.31722
15,700,2.1148
14,607,1.83384
13,1664,5.02719
12,586,1.77039
11,1446,4.36858
10,873,2.63746
9,1003,3.03021
8,832,2.5136
7,704,2.12689
6,1017,3.07251
5,1218,3.67976
4,1108,3.34743
3,1811,5.4713
2,924,2.79154
1,872,2.63444
0,880,2.65861
