switch_id,used_rules,usage
49,216,0.652568
48,135,0.407855
47,53,0.160121
46,101,0.305136
45,143,0.432024
44,171,0.516616
43,165,0.498489
42,89,0.268882
41,45,0.135952
40,13,0.0392749
39,110,0.332326
38,130,0.392749
37,158,0.477341
36,56,0.169184
35,109,0.329305
34,135,0.407855
33,78,0.23565
32,132,0.398792
31,156,0.471299
30,88,0.265861
29,128,0.386707
28,183,0.55287
27,97,0.293051
26,67,0.202417
25,225,0.679758
24,200,0.60423
23,114,0.344411
22,177,0.534743
21,159,0.480363
20,42,0.126888
19,134,0.404834
18,162,0.489426
17,83,0.250755
16,161,0.486405
15,54,0.163142
14,117,0.353474
13,209,0.63142
12,88,0.265861
11,126,0.380665
10,180,0.543807
9,101,0.305136
8,93,0.280967
7,68,0.205438
6,123,0.371601
5,177,0.534743
4,147,0.444109
3,164,0.495468
2,134,0.404834
1,94,0.283988
0,127,0.383686
