source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.944444,2,0.472222,3,1.66667,1,1
0,4,1,1.41667,3,0.472222,8,2.5,2,6
0,5,2,1.40012,3,0.466708,10,2.5,2,5
0,7,3,1.68914,4,0.422284,11,2.45455,1,7
1,2,4,0.472222,1,0.472222,2,1.5,1,1
4,5,5,0.944444,2,0.472222,4,1.75,1,3
4,6,6,0.944444,2,0.472222,5,2,1,2
3,4,7,0.472222,1,0.472222,2,1.5,1,1
3,9,8,0.472222,1,0.472222,4,1.75,1,3
0,10,9,0.383581,1,0.383581,4,1.75,1,3
10,5,10,1.41667,3,0.472222,6,2,1,5
10,6,11,0.944444,2,0.472222,2,2,1,1
0,6,12,0.427901,1,0.427901,3,1.66667,1,2
6,8,13,1.88889,4,0.472222,4,1.75,1,4
2,9,14,2.29731,5,0.459461,9,2.33333,1,5
1,9,15,0.944444,2,0.472222,5,2,1,4
3,8,16,0.472222,1,0.472222,2,1.5,1,1
7,9,17,1.39096,3,0.463655,6,2,1,4
2,3,18,0.472222,1,0.472222,6,2.33333,2,4
2,6,19,1.37772,3,0.459239,12,2.66667,2,7
10,8,20,2.1764,5,0.435281,9,2.44444,1,5
6,7,21,1.41667,3,0.472222,6,2,1,3
