source,destination,length,path
0,1,1,0,1,0.683
0,1,3,0,8,3,1,0.121
0,4,2,0,7,4,0.112
0,4,2,0,2,4,0.346
0,4,2,0,8,4,0.346
0,4,2,0,6,4,0.231
0,4,3,0,9,5,4,0.007
0,4,3,0,1,7,4,0.115
0,5,2,0,9,5,0.399
0,5,2,0,10,5,0.004
0,5,2,0,2,5,0.29
0,5,3,0,9,3,5,0.114
0,5,3,0,10,3,5,0.004
0,5,3,0,9,1,5,0.115
0,5,3,0,2,7,5,0.115
0,5,2,0,1,5,0.004
0,7,1,0,7,0.749
0,7,2,0,6,7,0.122
0,7,2,0,10,7,0.484
0,7,2,0,9,7,0.122
0,7,3,0,8,3,7,0.122
1,2,1,1,2,0.362
1,2,2,1,10,2,0.007
4,5,1,4,5,0.607
4,5,2,4,1,5,0.121
4,5,2,4,3,5,0.122
4,6,1,4,6,0.601
4,6,2,4,3,6,0.121
4,6,2,4,8,6,0.122
3,4,1,3,4,0.425
3,9,1,3,9,0.364
3,9,2,3,5,9,0.007
0,10,1,0,10,0.242
0,10,2,0,6,10,0.123
0,10,2,0,2,10,0.004
10,5,1,10,5,0.727
10,5,2,10,2,5,0.122
10,5,2,10,1,5,0.121
10,5,2,10,3,5,0.183
10,5,2,10,7,5,0.122
10,6,1,10,6,0.853
0,6,1,0,6,0.342
0,6,2,0,9,6,0.001
6,8,1,6,8,0.851
6,8,2,6,9,8,0.486
6,8,2,6,3,8,0.364
2,9,1,2,9,0.852
2,9,2,2,1,9,0.3
2,9,2,2,8,9,0.402
2,9,3,2,7,5,9,0.005
2,9,2,2,5,9,0.301
2,9,2,2,7,9,0.003
2,9,3,2,4,7,9,0.004
1,9,1,1,9,0.486
1,9,2,1,3,9,0.244
1,9,2,1,5,9,0.122
3,8,1,3,8,0.302
3,8,3,3,1,4,8,0.002
3,8,2,3,4,8,0.009
7,9,1,7,9,0.721
7,9,2,7,5,9,0.181
7,9,2,7,3,9,0.181
7,9,2,7,6,9,0.121
7,9,2,7,1,9,0.004
2,3,2,2,10,3,0.182
2,3,2,2,1,3,0.121
2,3,2,2,7,3,0.0
2,3,2,2,4,3,0.0
2,6,2,2,8,6,0.172
2,6,2,2,7,6,0.423
2,6,3,2,4,3,6,0.121
2,6,3,2,1,7,6,0.121
2,6,2,2,4,6,0.006
2,6,3,2,10,3,6,0.242
2,6,3,2,1,3,6,0.121
10,8,1,10,8,0.901
10,8,2,10,0,8,0.241
10,8,3,10,1,4,8,0.425
10,8,2,10,2,8,0.292
10,8,4,10,1,7,4,8,0.121
10,8,2,10,3,8,0.008
6,7,1,6,7,0.547
6,7,2,6,4,7,0.304
6,7,2,6,10,7,0.121
6,7,2,6,9,7,0.001
6,7,2,6,3,7,0.243
