source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.964286,2,0.482143,5,2.2,1,3
0,4,1,1.44451,3,0.481502,13,2.61538,2,9
0,5,2,1.37308,3,0.457693,13,2.76923,2,9
0,7,3,1.69451,4,0.423627,14,2.71429,1,8
1,2,4,0.482143,1,0.482143,2,1.5,1,2
4,5,5,0.964286,2,0.482143,4,1.75,1,4
4,6,6,0.964286,2,0.482143,4,2,1,3
3,4,7,0.482143,1,0.482143,1,1,1,1
3,9,8,0.482143,1,0.482143,5,1.8,1,3
0,10,9,0.317586,1,0.317586,4,1.75,1,3
10,5,10,1.44643,3,0.482143,5,1.8,1,5
10,6,11,0.964286,2,0.482143,4,2,1,4
0,6,12,0.317586,1,0.317586,4,2.25,1,3
6,8,13,1.89096,4,0.472741,4,1.75,1,4
2,9,14,2.31377,5,0.462753,16,2.6875,1,9
1,9,15,0.964286,2,0.482143,5,2.2,1,3
3,8,16,0.482143,1,0.482143,2,1.5,1,2
7,9,17,1.37549,3,0.458496,7,2.14286,1,6
2,3,18,0.482143,1,0.482143,5,2.2,2,4
2,6,19,1.40882,3,0.469607,12,2.66667,2,8
10,8,20,2.1952,5,0.43904,9,2.44444,1,9
6,7,21,1.44643,3,0.482143,6,2.16667,1,5
