source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.875,2,0.4375,3,2,1,1
0,4,1,1.3125,3,0.4375,6,2.33333,2,4
0,5,2,1.3125,3,0.4375,7,2.42857,2,3
0,7,3,1.69536,4,0.423841,6,2.16667,1,3
1,2,4,0.4375,1,0.4375,2,1.5,1,1
4,5,5,0.875,2,0.4375,3,1.66667,1,1
4,6,6,0.875,2,0.4375,2,1.5,1,2
3,4,7,0.4375,1,0.4375,1,1,1,1
3,9,8,0.4375,1,0.4375,2,1.5,1,2
0,10,9,0.4375,1,0.4375,4,1.75,1,1
10,5,10,1.3125,3,0.4375,5,1.8,1,4
10,6,11,0.875,2,0.4375,1,1,1,1
0,6,12,0.4375,1,0.4375,2,1.5,1,1
6,8,13,1.75,4,0.4375,3,1.66667,1,3
2,9,14,2.1875,5,0.4375,5,2,1,4
1,9,15,0.875,2,0.4375,3,1.66667,1,2
3,8,16,0.4375,1,0.4375,1,1,1,1
7,9,17,1.3125,3,0.4375,5,2,1,3
2,3,18,0.4375,1,0.4375,3,2,2,3
2,6,19,1.3125,3,0.4375,5,2.8,2,3
10,8,20,2.1772,5,0.435439,6,2.16667,1,4
6,7,21,1.3125,3,0.4375,4,1.75,1,3
