source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.857143,2,0.428571,1,1,1,1
0,4,1,1.28571,3,0.428571,6,2.33333,2,3
0,5,2,1.28571,3,0.428571,5,2.4,2,4
0,7,3,1.67876,4,0.41969,6,2.33333,1,2
1,2,4,0.428571,1,0.428571,2,1.5,1,1
4,5,5,0.857143,2,0.428571,3,1.66667,1,1
4,6,6,0.857143,2,0.428571,3,1.66667,1,2
3,4,7,0.428571,1,0.428571,1,1,1,1
3,9,8,0.428571,1,0.428571,3,1.66667,1,1
0,10,9,0.428571,1,0.428571,4,1.75,1,1
10,5,10,1.28571,3,0.428571,5,1.8,1,4
10,6,11,0.857143,2,0.428571,1,1,1,1
0,6,12,0.428571,1,0.428571,3,1.66667,1,1
6,8,13,1.71429,4,0.428571,4,1.75,1,2
2,9,14,2.14286,5,0.428571,4,1.75,1,4
1,9,15,0.857143,2,0.428571,4,1.75,1,2
3,8,16,0.428571,1,0.428571,2,1.5,1,1
7,9,17,1.28571,3,0.428571,4,1.75,1,3
2,3,18,0.428571,1,0.428571,3,2,2,2
2,6,19,1.28571,3,0.428571,9,2.77778,2,1
10,8,20,2.14286,5,0.428571,5,2,1,5
6,7,21,1.28571,3,0.428571,3,1.66667,1,3
