source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.98,2,0.49,6,2.33333,1,6
0,4,1,1.45832,3,0.486108,16,2.6875,2,10
0,5,2,1.47,3,0.49,16,2.875,2,9
0,7,3,1.66979,4,0.417447,17,2.70588,1,13
1,2,4,0.49,1,0.49,3,1.66667,1,1
4,5,5,0.98,2,0.49,4,1.75,1,4
4,6,6,0.98,2,0.49,3,1.66667,1,3
3,4,7,0.49,1,0.49,2,1.5,1,2
3,9,8,0.49,1,0.49,7,2.14286,1,5
0,10,9,0.2582,1,0.2582,4,1.75,1,3
10,5,10,1.47,3,0.49,9,2.33333,1,4
10,6,11,0.98,2,0.49,6,2.33333,1,4
0,6,12,0.206525,1,0.206525,4,1.75,1,3
6,8,13,1.90017,4,0.475041,4,1.75,1,4
2,9,14,2.34832,5,0.469665,16,2.6875,1,10
1,9,15,0.961822,2,0.480911,6,2.16667,1,5
3,8,16,0.49,1,0.49,2,1.5,1,2
7,9,17,1.23957,3,0.41319,9,2.33333,1,7
2,3,18,0.49,1,0.49,8,2.25,2,6
2,6,19,1.42017,3,0.473388,16,2.875,2,13
10,8,20,2.14482,5,0.428964,11,2.54545,1,9
6,7,21,1.47,3,0.49,6,2.5,1,4
