source,destination,length,path
0,1,1,0,1,0.562
0,1,2,0,9,1,0.212
0,4,2,0,7,4,0.145
0,4,2,0,2,4,0.455
0,4,2,0,8,4,0.353
0,4,2,0,6,4,0.152
0,4,3,0,9,7,4,0.104
0,5,2,0,9,5,0.304
0,5,2,0,10,5,0.157
0,5,2,0,2,5,0.162
0,5,3,0,9,3,5,0.003
0,5,2,0,7,5,0.148
0,5,2,0,1,5,0.004
0,5,3,0,8,3,5,0.006
0,5,3,0,6,3,5,0.105
0,5,3,0,2,1,5,0.007
0,7,1,0,7,0.557
0,7,2,0,6,7,0.106
0,7,2,0,10,7,0.417
0,7,2,0,1,7,0.191
0,7,3,0,8,3,7,0.106
0,7,3,0,6,9,7,0.106
0,7,2,0,9,7,0.107
1,2,1,1,2,0.378
1,2,2,1,7,2,0.0
4,5,1,4,5,0.649
4,5,2,4,3,5,0.108
4,5,2,4,1,5,0.108
4,6,1,4,6,0.428
4,6,2,4,3,6,0.321
4,6,2,4,7,6,0.108
3,4,1,3,4,0.432
3,9,1,3,9,0.377
3,9,2,3,1,9,0.0
0,10,1,0,10,0.266
0,10,2,0,2,10,0.108
0,10,2,0,6,10,0.007
10,5,1,10,5,0.595
10,5,2,10,2,5,0.216
10,5,2,10,1,5,0.162
10,5,3,10,2,1,5,0.001
10,5,2,10,3,5,0.002
10,5,3,10,1,7,5,0.108
10,5,2,10,7,5,0.109
10,6,1,10,6,0.868
0,6,1,0,6,0.3
0,6,2,0,8,6,0.003
6,8,1,6,8,0.851
6,8,2,6,9,8,0.539
6,8,2,6,3,8,0.108
6,8,2,6,4,8,0.216
2,9,1,2,9,0.887
2,9,2,2,1,9,0.324
2,9,2,2,8,9,0.486
2,9,2,2,0,9,0.002
2,9,2,2,5,9,0.379
1,9,1,1,9,0.427
1,9,2,1,3,9,0.215
1,9,2,1,5,9,0.107
1,9,2,1,7,9,0.109
3,8,1,3,8,0.322
3,8,3,3,1,4,8,0.109
7,9,1,7,9,0.739
7,9,2,7,5,9,0.216
7,9,2,7,1,9,0.009
7,9,2,7,3,9,0.162
7,9,2,7,6,9,0.108
2,3,2,2,10,3,0.109
2,3,2,2,1,3,0.108
2,3,2,2,7,3,0.216
2,6,2,2,8,6,0.272
2,6,2,2,7,6,0.432
2,6,3,2,10,3,6,0.163
2,6,3,2,1,3,6,0.162
2,6,2,2,4,6,0.27
10,8,1,10,8,0.902
10,8,2,10,0,8,0.201
10,8,3,10,1,4,8,0.432
10,8,3,10,7,4,8,0.004
10,8,2,10,3,8,0.375
10,8,2,10,2,8,0.107
6,7,1,6,7,0.596
6,7,2,6,4,7,0.216
6,7,2,6,10,7,0.108
6,7,2,6,3,7,0.378
