switch_id,used_rules,usage
38,4164,5.61943
37,10251,13.834
36,6051,8.16599
35,7245,9.77733
34,6029,8.1363
33,9810,13.2389
32,9389,12.6707
31,10689,14.4251
30,4917,6.63563
29,7651,10.3252
28,3965,5.35088
27,8578,11.5762
26,3573,4.82186
25,9063,12.2308
24,5389,7.2726
23,6891,9.2996
22,3917,5.2861
21,11363,15.3347
20,10539,14.2227
19,5654,7.63023
18,4810,6.49123
17,7660,10.3374
16,9808,13.2362
15,10645,14.3657
14,10610,14.3185
13,9922,13.39
12,11930,16.0999
11,9625,12.9892
10,10382,14.0108
9,10876,14.6775
8,4771,6.4386
7,10258,13.8435
6,12058,16.2726
5,10998,14.8421
4,11795,15.9177
3,7539,10.1741
2,5827,7.8637
1,3590,4.8448
0,6218,8.39136
