switch_id,used_rules,usage
38,9491,12.8084
37,21606,29.1579
36,13767,18.5789
35,16499,22.2659
34,10966,14.7989
33,27062,36.5209
32,24982,33.7139
31,36416,49.1444
30,21414,28.8988
29,24269,32.7517
28,10956,14.7854
27,26833,36.2119
26,13506,18.2267
25,30591,41.2834
24,16535,22.3144
23,26834,36.2132
22,15797,21.3185
21,38406,51.83
20,37037,49.9825
19,18830,25.4116
18,22245,30.0202
17,24700,33.3333
16,23555,31.7881
15,32569,43.9528
14,28447,38.39
13,29436,39.7247
12,30027,40.5223
11,34712,46.8448
10,34227,46.1903
9,31285,42.22
8,17650,23.8192
7,28741,38.7868
6,49237,66.4467
5,23274,31.4089
4,39801,53.7126
3,15153,20.4494
2,11769,15.8826
1,9183,12.3927
0,13221,17.8421
