switch_id,used_rules,usage
34,312,1.31092
33,311,1.30672
32,692,2.90756
31,228,0.957983
30,381,1.60084
29,330,1.38655
28,807,3.39076
27,369,1.55042
26,324,1.36134
25,455,1.91176
24,430,1.80672
23,367,1.54202
22,564,2.36975
21,301,1.26471
20,192,0.806723
19,260,1.09244
18,304,1.27731
17,633,2.65966
16,307,1.28992
15,382,1.60504
14,511,2.14706
13,341,1.43277
12,251,1.05462
11,388,1.63025
10,152,0.638655
9,469,1.97059
8,494,2.07563
7,305,1.28151
6,587,2.46639
5,173,0.726891
4,385,1.61765
3,572,2.40336
2,446,1.87395
1,431,1.81092
0,228,0.957983
