switch_id,used_rules,usage
53,689,1.10594
52,0,0
51,2165,3.47512
50,500,0.802568
49,726,1.16533
48,511,0.820225
47,25,0.0401284
46,492,0.789727
45,181,0.29053
44,335,0.537721
43,379,0.608347
42,371,0.595506
41,1144,1.83628
40,1086,1.74318
39,1586,2.54575
38,0,0
37,1177,1.88925
36,426,0.683788
35,715,1.14767
34,422,0.677368
33,558,0.895666
32,796,1.27769
31,559,0.897271
30,0,0
29,668,1.07223
28,217,0.348315
27,413,0.662921
26,1027,1.64848
25,2136,3.42857
24,582,0.934189
23,239,0.383628
22,1718,2.75762
21,860,1.38042
20,1553,2.49278
19,461,0.739968
18,382,0.613162
17,106,0.170144
16,511,0.820225
15,883,1.41734
14,0,0
13,1005,1.61316
12,216,0.346709
11,348,0.558587
10,470,0.754414
9,795,1.27608
8,40,0.0642055
7,1616,2.5939
6,106,0.170144
5,343,0.550562
4,20,0.0321027
3,569,0.913323
2,454,0.728732
1,337,0.540931
0,135,0.216693
