switch_id,used_rules,usage
53,197,0.316212
52,0,0
51,695,1.11557
50,147,0.235955
49,340,0.545746
48,37,0.05939
47,10,0.0160514
46,276,0.443018
45,35,0.0561798
44,141,0.226324
43,80,0.128411
42,101,0.162119
41,196,0.314607
40,242,0.388443
39,389,0.624398
38,0,0
37,206,0.330658
36,91,0.146067
35,200,0.321027
34,106,0.170144
33,59,0.094703
32,136,0.218299
31,223,0.357945
30,0,0
29,120,0.192616
28,4,0.00642055
27,93,0.149278
26,320,0.513644
25,577,0.926164
24,77,0.123596
23,5,0.00802568
22,571,0.916533
21,203,0.325843
20,370,0.5939
19,194,0.311396
18,57,0.0914928
17,0,0
16,37,0.05939
15,193,0.309791
14,0,0
13,246,0.394864
12,65,0.104334
11,150,0.24077
10,151,0.242376
9,181,0.29053
8,12,0.0192616
7,406,0.651685
6,0,0
5,96,0.154093
4,0,0
3,181,0.29053
2,159,0.255217
1,94,0.150883
0,21,0.0337079
