source,destination,demand_id,allowed_rate_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
8,1,0,60,384,0.15625,2,1.5,1
2,3,1,25,215,0.116279,1,1,1
6,7,2,24.6512,212,0.116279,1,1,1
9,2,3,22.907,197,0.116279,1,1,1
8,10,4,18.6047,160,0.116279,1,1,1
1,7,5,18.6047,160,0.116279,1,2,1
1,4,6,33.4884,144,0.232558,2,1.5,1
0,6,7,16.0465,138,0.116279,1,2,1
2,4,8,14.4186,124,0.116279,1,1,1
5,7,9,13.3721,115,0.116279,1,1,1
0,9,10,13.3721,115,0.116279,1,1,1
9,10,11,72.3256,364,0.198697,3,1.66667,1
4,7,12,12.5581,108,0.116279,1,1,1
3,4,13,12.2093,105,0.116279,1,1,1
8,7,14,11.6279,100,0.116279,1,1,1
10,2,15,11.5116,99,0.116279,1,1,1
4,5,16,11.0465,95,0.116279,1,1,1
1,2,17,60,278,0.215827,2,1.5,1
10,1,18,60,266,0.225564,2,1.5,1
8,9,19,60,263,0.228137,2,1.5,1
0,8,20,30,258,0.116279,1,1,1
8,6,21,28.7209,247,0.116279,1,2,1
1,5,22,27.5581,237,0.116279,1,2,1
1,3,23,27.5581,237,0.116279,1,1,1
