source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
8,1,0,63.5412,384,0.165472,7,2.57143,1,4
2,3,1,36.3234,215,0.168946,3,1.66667,1,3
6,7,2,35.8166,212,0.168946,3,1.66667,1,2
9,2,3,33.2824,197,0.168946,5,2.6,1,3
8,10,4,27.0314,160,0.168946,1,1,1,1
1,7,5,27.0314,160,0.168946,3,1.66667,1,2
1,4,6,24.3283,144,0.168946,3,2,1,1
0,6,7,23.3146,138,0.168946,2,1.5,1,2
2,4,8,20.9493,124,0.168946,2,1.5,1,1
5,7,9,19.4288,115,0.168946,1,1,1,1
0,9,10,19.4288,115,0.168946,1,1,1,1
9,10,11,56.2591,364,0.154558,4,1.75,1,4
4,7,12,18.2462,108,0.168946,1,1,1,1
3,4,13,17.7393,105,0.168946,2,1.5,1,1
8,7,14,16.8946,100,0.168946,2,1.5,1,2
10,2,15,16.7257,99,0.168946,2,2,1,1
4,5,16,16.0499,95,0.168946,1,1,1,1
1,2,17,46.8276,278,0.168445,6,2.5,1,2
10,1,18,44.9397,266,0.168946,4,2,1,2
8,9,19,44.4328,263,0.168946,4,2,1,2
0,8,20,43.5881,258,0.168946,4,1.75,1,3
8,6,21,41.4451,247,0.167794,7,2.42857,1,3
1,5,22,38.2355,237,0.161331,5,2.2,1,3
1,3,23,39.2492,237,0.165608,5,3,1,3
