source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
8,1,0,63.2194,384,0.164634,6,2.33333,1,6
2,3,1,35.9665,215,0.167286,3,1.66667,1,2
6,7,2,35.4647,212,0.167286,5,1.8,1,2
9,2,3,32.9554,197,0.167286,4,2.5,1,2
8,10,4,26.7658,160,0.167286,2,2,1,1
1,7,5,26.7658,160,0.167286,2,1.5,1,1
1,4,6,24.0892,144,0.167286,3,2.33333,1,3
0,6,7,23.0855,138,0.167286,2,1.5,1,2
2,4,8,20.7435,124,0.167286,2,1.5,1,1
5,7,9,19.2379,115,0.167286,1,1,1,1
0,9,10,19.2379,115,0.167286,1,1,1,1
9,10,11,55.7064,364,0.153039,4,1.75,1,4
4,7,12,18.0669,108,0.167286,1,1,1,1
3,4,13,17.565,105,0.167286,2,1.5,1,2
8,7,14,16.7286,100,0.167286,2,1.5,1,2
10,2,15,16.5613,99,0.167286,1,1,1,1
4,5,16,15.8922,95,0.167286,2,1.5,1,1
1,2,17,46.4071,278,0.166932,7,2,1,3
10,1,18,44.4981,266,0.167286,6,2.33333,1,2
8,9,19,43.4391,263,0.165168,6,2.33333,1,3
0,8,20,43.1598,258,0.167286,5,2,1,3
8,6,21,40.898,247,0.165579,4,2,1,3
1,5,22,39.4741,237,0.166557,7,2.28571,1,2
1,3,23,37.4294,237,0.15793,4,2.75,1,3
