source,destination,length,path
0,1,1,0,1,34436.9
0,1,2,0,7,1,18124.7
0,1,2,0,8,1,13593.5
0,1,2,0,6,1,8156.1
0,1,2,0,9,1,8156.1
0,1,2,0,5,1,6343.63
0,1,2,0,2,1,8156.1
0,1,2,0,3,1,10874.8
0,1,2,0,4,1,13593.5
0,1,3,0,7,5,1,2718.7
0,1,3,0,7,2,1,906.233
0,1,3,0,7,8,1,906.233
0,1,3,0,3,2,1,906.233
0,1,3,0,3,9,1,906.233
0,1,3,0,3,5,1,906.233
0,1,3,0,8,6,1,906.233
0,1,3,0,4,5,1,906.233
0,6,1,0,6,18355
0,6,2,0,4,6,3220.18
0,6,2,0,8,6,3542.2
0,6,3,0,7,3,6,644.036
0,6,2,0,2,6,3542.2
0,6,2,0,7,6,644.036
0,6,2,0,5,6,4508.25
0,6,2,0,3,6,3220.18
0,6,2,0,9,6,3220.18
0,6,3,0,7,2,6,322.018
0,6,2,0,1,6,4508.25
0,6,3,0,5,9,6,322.018
0,6,3,0,1,9,6,322.018
0,7,1,0,7,12707
0,7,2,0,8,7,4129.77
0,7,2,0,2,7,4447.44
0,7,2,0,5,7,5400.46
0,7,2,0,3,7,3176.74
0,7,2,0,1,7,5082.79
0,7,2,0,9,7,3812.09
0,7,2,0,6,7,5400.46
0,7,2,0,4,7,953.023
0,7,3,0,6,9,7,317.674
0,7,3,0,6,2,7,317.674
0,8,1,0,8,13787
0,8,2,0,5,8,6294.06
0,8,2,0,3,8,2997.17
0,8,2,0,2,8,3896.32
0,8,2,0,7,8,1198.87
0,8,2,0,6,8,5994.34
0,8,2,0,9,8,3596.6
0,8,2,0,4,8,899.151
0,8,2,0,1,8,4495.75
6,0,1,6,0,23997.5
6,0,2,6,2,0,2693.6
6,0,2,6,3,0,2448.72
6,0,2,6,8,0,1469.23
6,0,2,6,9,0,3183.34
6,0,2,6,4,0,489.745
6,0,3,6,2,7,0,244.872
6,0,2,6,7,0,734.617
3,0,1,3,0,20894.9
3,0,2,3,2,0,3946.82
3,0,2,3,7,0,2785.99
3,0,2,3,9,0,1625.16
3,0,2,3,8,0,2321.66
3,0,2,3,5,0,1160.83
