source,destination,length,path
0,1,1,0,1,38422
0,1,2,0,7,1,14678.1
0,1,2,0,8,1,12951.3
0,1,2,0,6,1,11656.1
0,1,2,0,9,1,11224.4
0,1,2,0,5,1,10792.7
0,1,2,0,2,1,10361
0,1,2,0,4,1,13814.7
0,1,3,0,6,3,1,431.708
0,1,2,0,3,1,11224.4
0,1,3,0,4,9,1,1726.83
0,1,3,0,4,5,1,863.417
0,1,3,0,4,2,1,863.417
0,1,3,0,4,8,1,863.417
0,1,3,0,4,3,1,431.708
0,1,3,0,2,9,1,431.708
0,6,1,0,6,14113
0,6,2,0,8,6,6136.07
0,6,2,0,4,6,4141.85
0,6,2,0,2,6,4295.25
0,6,2,0,9,6,4141.85
0,6,3,0,7,2,6,1994.22
0,6,2,0,7,6,1994.22
0,6,2,0,5,6,3681.64
0,6,2,0,3,6,4448.65
0,6,3,0,5,9,6,767.009
0,6,3,0,7,3,6,613.607
0,6,2,0,1,6,3221.44
0,6,3,0,7,8,6,306.804
0,6,3,0,5,2,6,153.402
0,7,1,0,7,14830.6
0,7,2,0,8,7,6053.31
0,7,2,0,5,7,5145.31
0,7,2,0,4,7,3329.32
0,7,2,0,2,7,4388.65
0,7,2,0,9,7,4085.98
0,7,2,0,3,7,4237.31
0,7,2,0,6,7,3934.65
0,7,2,0,1,7,3131.05
0,7,3,0,6,2,7,151.333
0,8,1,0,8,14135
0,8,2,0,5,8,4997.24
0,8,2,0,6,8,4283.34
0,8,2,0,2,8,4283.34
0,8,2,0,9,8,3997.79
0,8,2,0,1,8,0
0,8,2,0,7,8,4568.9
0,8,2,0,3,8,4140.57
0,8,2,0,4,8,2998.34
6,0,1,6,0,18430.9
6,0,2,6,8,0,3849.5
6,0,2,6,2,0,3732.85
6,0,2,6,3,0,3266.24
6,0,2,6,7,0,1983.07
6,0,2,6,9,0,3382.89
6,0,2,6,4,0,1516.47
6,0,2,6,5,0,1399.82
6,0,3,6,8,7,0,233.303
6,0,2,6,1,0,233.303
3,0,1,3,0,18027.5
3,0,2,3,7,0,2764.96
3,0,2,3,2,0,4423.94
3,0,2,3,9,0,2875.56
3,0,2,3,8,0,2322.57
3,0,2,3,6,0,1880.17
3,0,2,3,4,0,1880.17
3,0,2,3,5,0,1216.58
3,0,2,3,1,0,442.394
3,0,3,3,9,1,0,221.197
9,0,1,9,0,15833.9
9,0,2,9,2,0,2748.94
9,0,2,9,7,0,4618.22
9,0,2,9,8,0,2419.07
9,0,2,9,5,0,3518.64
9,0,2,9,6,0,2638.98
9,0,2,9,4,0,1649.36
9,0,2,9,1,0,1099.58
9,0,2,9,3,0,1099.58
9,0,3,9,2,8,0,219.915
2,0,1,2,0,12962.3
2,0,2,2,8,0,3436.97
2,0,2,2,7,0,3142.37
2,0,2,2,5,0,3240.57
2,0,2,2,4,0,2356.78
2,0,2,2,6,0,1178.39
2,0,2,2,1,0,2258.58
2,0,2,2,3,0,1080.19
2,0,2,2,9,0,1571.18
2,0,3,2,9,1,0,687.393
2,0,3,2,7,1,0,98.1991
8,0,1,8,0,14342.9
8,0,2,8,7,0,2021.48
8,0,2,8,4,0,1828.96
8,0,2,8,5,0,2214.01
8,0,2,8,2,0,1828.96
8,0,2,8,3,0,1925.22
8,0,2,8,9,0,2021.48
8,0,2,8,6,0,1636.44
8,0,2,8,1,0,2502.79
8,0,3,8,2,1,0,577.567
8,0,3,8,6,1,0,96.2612
8,0,3,8,5,1,0,192.522
8,0,3,8,3,1,0,192.522
7,0,1,7,0,11929.9
7,0,2,7,4,0,3155.66
7,0,2,7,3,0,1385.41
7,0,2,7,1,0,1770.25
7,0,2,7,6,0,923.607
7,0,2,7,8,0,1308.44
7,0,3,7,5,1,0,230.902
7,0,2,7,2,0,1308.44
7,0,3,7,2,6,0,230.902
7,0,2,7,5,0,1154.51
7,0,3,7,8,6,0,230.902
7,0,2,7,9,0,461.803
7,0,3,7,8,9,0,230.902
