source,destination,link_id,used_rate,usage,capacity
11,7,33,0,0,155
11,6,29,0,0,155
11,3,17,0,0,155
10,6,27,0,0,155
10,5,25,0,0,155
10,4,21,0,0,155
10,1,9,0,0,155
10,0,1,0,0,155
9,7,31,0,0,155
9,2,11,0,0,155
8,5,23,0,0,155
8,4,19,0,0,155
7,11,32,0,0,155
7,9,30,0,0,155
7,1,7,0,0,155
6,11,28,0,0,155
6,10,26,0,0,155
6,3,15,0,0,155
5,0,35,0,0,155
5,10,24,0,0,155
5,8,22,0,0,155
4,10,20,0,0,155
4,8,18,0,0,155
4,3,13,0,0,155
3,11,16,0,0,155
3,6,14,0,0,155
3,4,12,0,0,155
2,9,10,0,0,155
2,1,5,0,0,155
2,0,3,0,0,155
1,10,8,0,0,155
1,7,6,0,0,155
1,2,4,0,0,155
0,5,34,0,0,155
0,2,2,0,0,155
0,10,0,0,0,155
