source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.467096,2,0.233548,1,1,1,1
0,4,1,0.700643,3,0.233548,7,2.42857,2,4
0,5,2,0.700643,3,0.233548,6,2.5,2,3
0,7,3,0.934191,4,0.233548,5,2.2,1,3
1,2,4,0.233548,1,0.233548,2,1.5,1,1
4,5,5,0.467096,2,0.233548,2,1.5,1,2
4,6,6,0.467096,2,0.233548,3,2,1,2
3,4,7,0.233548,1,0.233548,1,1,1,1
3,9,8,0.233548,1,0.233548,3,1.66667,1,1
0,10,9,0.233548,1,0.233548,3,1.66667,1,2
10,5,10,0.700643,3,0.233548,5,1.8,1,5
10,6,11,0.467096,2,0.233548,1,1,1,1
0,6,12,0.233548,1,0.233548,3,1.66667,1,1
6,8,13,0.934191,4,0.233548,4,1.75,1,2
2,9,14,1.16774,5,0.233548,6,2.33333,1,4
1,9,15,0.467096,2,0.233548,3,1.66667,1,2
3,8,16,0.233548,1,0.233548,1,1,1,1
7,9,17,0.700643,3,0.233548,6,2,1,3
2,3,18,0.233548,1,0.233548,4,2.25,2,1
2,6,19,0.700643,3,0.233548,4,2.25,2,3
10,8,20,1.16774,5,0.233548,6,2.16667,1,5
6,7,21,0.700643,3,0.233548,5,1.8,1,3
