source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.735363,2,0.367681,5,2.2,1,3
0,4,1,1.10304,3,0.367681,13,2.61538,2,9
0,5,2,1.10304,3,0.367681,13,2.76923,2,9
0,7,3,1.47073,4,0.367681,14,2.71429,1,8
1,2,4,0.367681,1,0.367681,2,1.5,1,2
4,5,5,0.735363,2,0.367681,4,1.75,1,4
4,6,6,0.735363,2,0.367681,4,2,1,3
3,4,7,0.367681,1,0.367681,1,1,1,1
3,9,8,0.367681,1,0.367681,5,1.8,1,3
0,10,9,0.367681,1,0.367681,4,1.75,1,3
10,5,10,1.10304,3,0.367681,5,1.8,1,5
10,6,11,0.735363,2,0.367681,4,2,1,4
0,6,12,0.367681,1,0.367681,4,2.25,1,3
6,8,13,1.47073,4,0.367681,4,1.75,1,4
2,9,14,1.83841,5,0.367681,16,2.6875,1,9
1,9,15,0.735363,2,0.367681,5,2.2,1,3
3,8,16,0.367681,1,0.367681,2,1.5,1,2
7,9,17,1.10304,3,0.367681,7,2.14286,1,6
2,3,18,0.367681,1,0.367681,5,2.2,2,4
2,6,19,1.10304,3,0.367681,12,2.66667,2,8
10,8,20,1.83841,5,0.367681,9,2.44444,1,9
6,7,21,1.10304,3,0.367681,6,2.16667,1,5
