source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.672615,2,0.336307,3,1.66667,1,1
0,4,1,1.00892,3,0.336307,8,2.5,2,6
0,5,2,1.00892,3,0.336307,10,2.5,2,5
0,7,3,1.34523,4,0.336307,11,2.45455,1,7
1,2,4,0.336307,1,0.336307,2,1.5,1,1
4,5,5,0.672615,2,0.336307,4,1.75,1,3
4,6,6,0.672615,2,0.336307,5,2,1,2
3,4,7,0.336307,1,0.336307,2,1.5,1,1
3,9,8,0.336307,1,0.336307,4,1.75,1,3
0,10,9,0.336307,1,0.336307,4,1.75,1,3
10,5,10,1.00892,3,0.336307,6,2,1,5
10,6,11,0.672615,2,0.336307,2,2,1,1
0,6,12,0.336307,1,0.336307,3,1.66667,1,2
6,8,13,1.34523,4,0.336307,4,1.75,1,4
2,9,14,1.68154,5,0.336307,9,2.33333,1,5
1,9,15,0.672615,2,0.336307,5,2,1,4
3,8,16,0.336307,1,0.336307,2,1.5,1,1
7,9,17,1.00892,3,0.336307,6,2,1,4
2,3,18,0.336307,1,0.336307,6,2.33333,2,4
2,6,19,1.00892,3,0.336307,12,2.66667,2,7
10,8,20,1.68154,5,0.336307,9,2.44444,1,5
6,7,21,1.00892,3,0.336307,6,2,1,3
