source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.869698,2,0.434849,6,2,1,4
0,4,1,1.30455,3,0.434849,18,2.88889,2,14
0,5,2,1.30455,3,0.434849,26,3,2,15
0,7,3,1.7394,4,0.434849,21,2.85714,1,15
1,2,4,0.434849,1,0.434849,2,1.5,1,2
4,5,5,0.869698,2,0.434849,4,1.75,1,4
4,6,6,0.869698,2,0.434849,4,2,1,3
3,4,7,0.434849,1,0.434849,2,1.5,1,2
3,9,8,0.434849,1,0.434849,9,2.33333,1,8
0,10,9,0.434849,1,0.434849,5,1.8,1,3
10,5,10,1.30455,3,0.434849,7,2.14286,1,7
10,6,11,0.869698,2,0.434849,8,2.5,1,4
0,6,12,0.434849,1,0.434849,8,2.5,1,5
6,8,13,1.7394,4,0.434849,5,2,1,4
2,9,14,2.17424,5,0.434849,28,3,1,19
1,9,15,0.869698,2,0.434849,9,2.44444,1,7
3,8,16,0.434849,1,0.434849,4,2.25,1,4
7,9,17,1.30455,3,0.434849,8,2.25,1,7
2,3,18,0.434849,1,0.434849,7,2.28571,2,6
2,6,19,1.30455,3,0.434849,23,3.08696,2,20
10,8,20,2.17424,5,0.434849,13,2.84615,1,11
6,7,21,1.30455,3,0.434849,6,2.16667,1,5
