source,destination,length,path
0,1,1,0,1,0.263676
0,1,2,0,9,1,0.065919
0,1,2,0,2,1,0.131838
0,1,3,0,8,3,1,0.065919
0,4,2,0,7,4,0.329595
0,4,2,0,2,4,0.197757
0,4,2,0,8,4,0.197757
0,4,2,0,6,4,0.065919
0,5,2,0,9,5,0.230717
0,5,2,0,10,5,0.0329595
0,5,2,0,2,5,0.065919
0,5,3,0,9,3,5,0.065919
0,5,3,0,8,3,5,0.0988785
0,5,3,0,2,1,5,0.065919
0,5,2,0,7,5,0.0329595
0,5,3,0,10,2,5,0.0329595
0,5,3,0,10,1,5,0.065919
0,5,3,0,6,3,5,0.0988785
0,7,1,0,7,0.197757
0,7,2,0,6,7,0.065919
0,7,2,0,10,7,0.197757
0,7,2,0,1,7,0.329595
0,7,2,0,9,7,0.197757
0,7,3,0,6,4,7,0.065919
1,2,1,1,2,0.230717
1,2,2,1,10,2,0.0329595
4,5,1,4,5,0.395514
4,5,2,4,1,5,0.131838
4,6,1,4,6,0.329595
4,6,2,4,3,6,0.197757
3,4,1,3,4,0.263676
3,9,1,3,9,0.197757
3,9,2,3,1,9,0.0329595
3,9,3,3,4,8,9,0.0329595
0,10,1,0,10,0.164798
0,10,2,0,6,10,0.0329595
0,10,2,0,2,10,0.065919
10,5,1,10,5,0.461433
10,5,2,10,2,5,0.0988785
10,5,2,10,1,5,0.0988785
10,5,2,10,3,5,0.065919
10,5,2,10,7,5,0.065919
10,6,1,10,6,0.461433
10,6,2,10,3,6,0.065919
0,6,1,0,6,0.197757
0,6,2,0,8,6,0.065919
6,8,1,6,8,0.527352
6,8,2,6,9,8,0.395514
6,8,2,6,3,8,0.065919
6,8,2,6,4,8,0.065919
2,9,1,2,9,0.560312
2,9,2,2,1,9,0.0988785
2,9,2,2,8,9,0.296636
2,9,2,2,0,9,0.0329595
2,9,2,2,5,9,0.230717
2,9,2,2,7,9,0.0988785
1,9,1,1,9,0.395514
1,9,2,1,3,9,0.131838
3,8,1,3,8,0.197757
3,8,3,3,1,4,8,0.065919
7,9,1,7,9,0.395514
7,9,2,7,5,9,0.197757
7,9,2,7,6,9,0.065919
7,9,2,7,3,9,0.131838
2,3,2,2,10,3,0.065919
2,3,2,2,1,3,0.0988785
2,3,2,2,7,3,0.0329595
2,3,2,2,4,3,0.065919
2,6,2,2,8,6,0.164798
2,6,2,2,7,6,0.263676
2,6,3,2,10,3,6,0.065919
2,6,2,2,4,6,0.0988785
2,6,3,2,7,3,6,0.065919
2,6,3,2,10,7,6,0.065919
2,6,2,2,10,6,0.065919
10,8,1,10,8,0.593271
10,8,2,10,0,8,0.131838
10,8,3,10,1,4,8,0.263676
10,8,2,10,3,8,0.164798
10,8,3,10,2,4,8,0.0329595
10,8,2,10,2,8,0.065919
10,8,3,10,7,3,8,0.065919
6,7,1,6,7,0.362555
6,7,2,6,4,7,0.164798
6,7,2,6,10,7,0.065919
6,7,2,6,3,7,0.197757
