switch_id,used_rules,usage
34,115,0.387205
33,80,0.26936
32,200,0.673401
31,85,0.286195
30,91,0.306397
29,95,0.319865
28,207,0.69697
27,82,0.276094
26,121,0.407407
25,128,0.430976
24,86,0.289562
23,101,0.340067
22,87,0.292929
21,160,0.538721
20,69,0.232323
19,54,0.181818
18,63,0.212121
17,201,0.676768
16,144,0.484848
15,87,0.292929
14,124,0.417508
13,68,0.228956
12,61,0.205387
11,88,0.296296
10,57,0.191919
9,145,0.488215
8,96,0.323232
7,81,0.272727
6,164,0.552189
5,55,0.185185
4,74,0.249158
3,118,0.397306
2,90,0.30303
1,140,0.47138
0,69,0.232323
