switch_id,used_rules,usage
34,385,1.2963
33,343,1.15488
32,832,2.80135
31,252,0.848485
30,450,1.51515
29,424,1.42761
28,921,3.10101
27,427,1.43771
26,379,1.27609
25,533,1.79461
24,527,1.77441
23,462,1.55556
22,666,2.24242
21,356,1.19865
20,239,0.804714
19,302,1.01684
18,364,1.22559
17,743,2.50168
16,333,1.12121
15,455,1.53199
14,635,2.13805
13,406,1.367
12,297,1
11,481,1.61953
10,208,0.700337
9,596,2.00673
8,590,1.98653
7,350,1.17845
6,696,2.34343
5,198,0.666667
4,466,1.56902
3,675,2.27273
2,503,1.6936
1,531,1.78788
0,281,0.946128
