source,destination,length,path
6,3,1,6,3,5.50485
5,0,1,5,0,14.1967
6,1,1,6,1,1.15892
4,9,1,4,9,23.7578
10,8,2,10,2,8,16.2248
10,8,2,10,9,8,4.0562
10,8,3,10,2,6,8,4.0562
10,8,3,10,2,3,8,4.0562
7,10,2,7,9,10,7.69851
7,10,2,7,2,10,10.2647
5,8,1,5,8,10.4302
8,2,1,8,2,5.46346
8,2,2,8,6,2,0.910576
3,5,1,3,5,1.15892
6,5,1,6,5,1.44864
7,3,1,7,3,2.0281
8,4,1,8,4,11.0097
10,6,2,10,9,6,11.9203
10,6,2,10,2,6,1.98671
8,3,1,8,3,1.44864
7,9,1,7,9,19.2463
7,9,2,7,6,9,3.84926
7,9,2,7,3,9,3.84926
10,3,2,10,9,3,6.82932
10,3,2,10,2,3,2.73173
0,6,1,0,6,4.63566
8,1,1,8,1,4.0562
5,2,1,5,2,8.69187
7,2,1,7,2,6.45681
7,2,2,7,3,2,1.07614
8,5,1,8,5,13.907
9,0,1,9,0,28.3934
1,9,1,1,9,15.1073
1,9,2,1,2,9,6.04292
3,1,1,3,1,1.15892
2,6,1,2,6,3.76648
7,5,1,7,5,14.4864
8,9,1,8,9,22.8886
6,7,1,6,7,2.31783
5,6,1,5,6,2.0281
9,3,1,9,3,16.8043
3,10,2,3,2,10,3.60092
3,10,2,3,9,10,4.80122
9,6,1,9,6,18.8324
3,4,1,3,4,1.73837
2,0,1,2,0,2.69034
2,0,2,2,4,0,1.07614
5,10,2,5,2,10,5.21512
5,10,2,5,9,10,5.21512
5,10,3,5,6,9,10,5.21512
5,10,3,5,3,9,10,2.60756
2,9,1,2,9,15.9351
0,7,1,0,7,9.27132
8,10,2,8,2,10,11.5892
8,10,2,8,9,10,2.31783
8,10,3,8,6,2,10,2.31783
7,0,1,7,0,15.6454
7,0,2,7,1,0,2.60756
9,8,1,9,8,31.5804
0,2,1,0,2,13.0378
2,7,1,2,7,3.76648
4,2,1,4,2,4.63566
3,9,1,3,9,10.1405
9,10,1,9,10,6.66376
8,6,1,8,6,1.44864
5,3,1,5,3,1.44864
3,8,1,3,8,1.44864
6,0,1,6,0,1.44864
10,2,1,10,2,16.2248
2,10,1,2,10,9.56105
10,4,2,10,9,4,12.7481
1,0,1,1,0,2.89729
8,7,1,8,7,2.89729
0,10,2,0,9,10,5.38068
0,10,2,0,2,10,2.69034
0,10,3,0,3,9,10,5.38068
0,10,3,0,6,9,10,5.38068
6,9,1,6,9,8.40214
5,7,1,5,7,3.47675
4,10,2,4,2,10,13.4103
4,10,2,4,9,10,2.23505
3,7,1,3,7,2.31783
0,3,1,0,3,4.0562
1,3,1,1,3,15.9351
1,3,2,1,5,3,3.18702
1,3,2,1,8,3,3.18702
4,8,1,4,8,6.37404
1,5,1,1,5,3.18702
2,5,1,2,5,2.89729
4,6,1,4,6,9.27132
5,4,1,5,4,3.47675
4,3,1,4,3,11.5892
2,3,1,2,3,2.0281
0,5,1,0,5,5.21512
0,9,1,0,9,28.6832
9,4,1,9,4,17.094
9,1,1,9,1,26.6551
4,7,1,4,7,6.95349
10,1,2,10,2,1,16.349
10,1,2,10,9,1,3.2698
10,1,3,10,2,4,1,3.2698
8,0,1,8,0,13.907
3,6,1,3,6,1.15892
0,4,1,0,4,5.79458
7,4,1,7,4,7.53295
7,6,1,7,6,2.31783
5,9,1,5,9,24.8339
5,9,2,5,1,9,4.13898
2,4,1,2,4,2.89729
10,5,2,10,9,5,17.1354
10,5,2,10,2,5,2.8559
5,1,1,5,1,5.21512
6,2,1,6,2,1.15892
3,0,1,3,0,1.73837
3,2,1,3,2,1.73837
2,8,1,2,8,3.93203
2,8,2,2,3,8,0.786407
2,8,2,2,4,8,0.786407
6,4,1,6,4,3.47675
7,8,1,7,8,3.18702
10,9,1,10,9,11.0097
9,5,1,9,5,15.2315
9,5,2,9,2,5,7.61573
9,5,2,9,3,5,3.80787
0,8,1,0,8,8.11241
1,8,1,1,8,4.0562
4,1,1,4,1,3.47675
1,6,1,1,6,6.08431
9,7,1,9,7,26.9448
0,1,1,0,1,5.79458
10,0,2,10,2,0,16.9698
10,0,2,10,9,0,3.39397
10,0,3,10,2,3,0,3.39397
9,2,1,9,2,19.4118
4,0,1,4,0,4.34593
1,10,2,1,9,10,10.0991
1,10,2,1,2,10,5.04956
1,10,3,1,4,9,10,2.52478
1,4,1,1,4,2.89729
7,1,1,7,1,3.47675
6,10,2,6,9,10,2.8559
6,10,2,6,2,10,3.80787
2,1,1,2,1,2.06949
2,1,2,2,4,1,0.413898
2,1,2,2,6,1,0.413898
1,2,1,1,2,2.89729
6,8,1,6,8,1.44864
10,7,2,10,9,7,10.5544
10,7,2,10,2,7,3.51814
10,7,3,10,9,3,7,3.51814
10,7,3,10,9,2,7,3.51814
10,7,3,10,9,1,7,3.51814
4,5,1,4,5,3.18702
1,7,1,1,7,3.47675
