source,destination,length,path
0,1,1,0,1,200.0
0,1,2,0,7,1,360.0
0,1,2,0,8,1,290.0
0,1,2,0,6,1,430.0
0,1,2,0,5,1,200.0
0,1,2,0,9,1,200.0
0,1,2,0,2,1,300.0
0,1,2,0,3,1,360.0
0,1,2,0,4,1,350.0
0,1,3,0,7,5,1,100.0
0,1,3,0,6,9,1,100.0
0,1,3,0,4,8,1,100.0
0,6,1,0,6,9290.0
0,6,2,0,8,6,330.0
0,6,2,0,5,6,70.0
0,6,2,0,2,6,1860.0
0,6,2,0,4,6,70.0
0,6,3,0,5,9,6,370.0
0,6,3,0,7,3,6,100.0
0,6,2,0,3,6,370.0
0,6,2,0,7,6,370.0
0,6,2,0,1,6,370.0
0,6,2,0,9,6,370.0
0,7,1,0,7,400.0
0,7,2,0,8,7,380.0
0,7,2,0,5,7,170.0
0,7,2,0,3,7,70.0
0,7,2,0,2,7,170.0
0,7,2,0,9,7,70.0
0,7,2,0,6,7,70.0
0,7,2,0,1,7,30.0
0,8,1,0,8,410.0
0,8,2,0,7,8,160.0
0,8,2,0,9,8,100.0
0,8,2,0,6,8,100.0
0,8,2,0,5,8,100.0
0,8,2,0,2,8,200.0
0,8,2,0,1,8,70.0
0,8,2,0,3,8,30.0
6,0,1,6,0,11800.0
6,0,2,6,2,0,1960.0
6,0,2,6,8,0,560.0
6,0,2,6,3,0,280.0
3,0,1,3,0,12000.0
3,0,2,3,7,0,530.0
3,0,2,3,2,0,530.0
3,0,2,3,9,0,530.0
3,0,2,3,8,0,270.0
9,0,1,9,0,11000.0
9,0,2,9,2,0,1070.0
9,0,2,9,7,0,1070.0
9,0,2,9,8,0,260.0
9,0,2,9,5,0,540.0
2,0,1,2,0,9290.0
2,0,2,2,8,0,1190.0
2,0,2,2,7,0,1190.0
2,0,2,2,6,0,240.0
2,0,2,2,4,0,480.0
8,0,1,8,0,9340.0
8,0,2,8,7,0,460.0
8,0,2,8,4,0,700.0
8,0,2,8,9,0,230.0
8,0,2,8,5,0,700.0
8,0,2,8,2,0,460.0
8,0,2,8,6,0,230.0
7,0,1,7,0,8220.0
7,0,2,7,5,0,370.0
7,0,2,7,4,0,560.0
7,0,2,7,3,0,380.0
7,0,2,7,1,0,180.0
7,6,1,7,6,6100.0
7,6,2,7,2,6,1250.0
7,6,2,7,3,6,1260.0
7,6,2,7,8,6,360.0
7,6,2,7,4,6,360.0
0,4,1,0,4,340.0
0,4,2,0,9,4,310.0
0,4,2,0,2,4,240.0
0,4,2,0,1,4,180.0
0,4,2,0,7,4,180.0
0,4,2,0,6,4,240.0
0,4,2,0,3,4,230.0
0,4,2,0,8,4,60.0
0,4,2,0,5,4,60.0
7,9,1,7,9,5960.0
7,9,2,7,2,9,1490.0
7,9,2,7,5,9,500.0
7,9,2,7,8,9,660.0
5,4,1,5,4,5810.0
5,4,2,5,8,4,1090.0
5,4,2,5,7,4,140.0
5,6,1,5,6,4920.0
5,6,2,5,9,6,520.0
4,1,1,4,1,3130.0
4,1,2,4,9,1,450.0
4,1,2,4,8,1,540.0
4,1,2,4,2,1,360.0
4,1,2,4,5,1,90.0
4,1,2,4,7,1,90.0
1,2,1,1,2,4390.0
1,4,1,1,4,4220.0
1,3,1,1,3,3890.0
3,1,1,3,1,3070.0
3,1,2,3,8,1,70.0
3,1,2,3,2,1,140.0
3,1,2,3,5,1,210.0
3,1,2,3,9,1,140.0
5,1,1,5,1,3570.0
6,1,1,6,1,2630.0
6,1,2,6,2,1,260.0
6,1,2,6,9,1,460.0
6,1,2,6,8,1,70.0
0,3,1,0,3,470.0
0,3,2,0,7,3,100.0
0,3,2,0,5,3,310.0
0,3,2,0,9,3,330.0
0,3,2,0,8,3,50.0
0,3,2,0,1,3,100.0
0,3,2,0,6,3,160.0
0,3,2,0,2,3,50.0
0,3,3,0,5,8,3,50.0
1,6,1,1,6,3150.0
6,7,1,6,7,3120.0
9,8,1,9,8,3030.0
1,9,1,1,9,2920.0
4,2,1,4,2,2850.0
1,5,1,1,5,2720.0
4,5,1,4,5,2750.0
8,1,1,8,1,2400.0
