source,destination,length,path
0,1,1,0,1,20430.8
0,1,2,0,7,1,6451.85
0,1,2,0,8,1,3225.92
0,1,2,0,6,1,5376.54
0,1,2,0,5,1,2150.62
0,1,2,0,9,1,2150.62
0,1,2,0,2,1,3225.92
0,1,2,0,3,1,4301.23
0,1,2,0,4,1,5376.54
0,1,3,0,7,5,1,1075.31
0,1,3,0,6,9,1,1075.31
0,1,3,0,4,8,1,1075.31
0,6,1,0,6,9552.4
0,6,2,0,8,6,3820.96
0,6,2,0,5,6,764.192
0,6,2,0,2,6,1910.48
0,6,2,0,4,6,764.192
0,6,3,0,5,9,6,382.096
0,6,3,0,7,3,6,1146.29
0,6,2,0,3,6,382.096
0,6,2,0,7,6,382.096
0,6,2,0,1,6,382.096
0,6,2,0,9,6,382.096
0,7,1,0,7,9046.62
0,7,2,0,8,7,4146.37
0,7,2,0,5,7,1884.71
0,7,2,0,3,7,753.885
0,7,2,0,2,7,1884.71
0,7,2,0,9,7,753.885
0,7,2,0,6,7,753.885
0,7,2,0,1,7,376.942
0,8,1,0,8,10313.4
0,8,2,0,7,8,1778.17
0,8,2,0,9,8,1066.9
0,8,2,0,6,8,1066.9
0,8,2,0,5,8,1066.9
0,8,2,0,2,8,2133.81
0,8,2,0,1,8,711.269
0,8,2,0,3,8,355.635
6,0,1,6,0,12203.4
6,0,2,6,2,0,2033.9
6,0,2,6,8,0,581.115
6,0,2,6,3,0,290.558
3,0,1,3,0,12396.6
3,0,2,3,7,0,550.962
3,0,2,3,2,0,550.962
3,0,2,3,9,0,550.962
3,0,2,3,8,0,275.481
9,0,1,9,0,11229.3
9,0,2,9,2,0,1095.54
9,0,2,9,7,0,1095.54
9,0,2,9,8,0,273.885
9,0,2,9,5,0,547.769
2,0,1,2,0,9539.25
2,0,2,2,8,0,1222.98
2,0,2,2,7,0,1222.98
2,0,2,2,6,0,244.596
2,0,2,2,4,0,489.192
8,0,1,8,0,9590.77
8,0,2,8,7,0,479.538
8,0,2,8,4,0,719.308
8,0,2,8,9,0,239.769
8,0,2,8,5,0,719.308
8,0,2,8,2,0,479.538
8,0,2,8,6,0,239.769
7,0,1,7,0,8435.31
7,0,2,7,5,0,383.423
7,0,2,7,4,0,575.135
7,0,2,7,3,0,383.423
7,0,2,7,1,0,191.712
7,6,1,7,6,6265.81
7,6,2,7,2,6,1290.02
7,6,2,7,3,6,1290.02
7,6,2,7,8,6,368.577
7,6,2,7,4,6,368.577
0,4,1,0,4,17177
0,4,2,0,9,4,3963.92
0,4,2,0,2,4,2642.62
0,4,2,0,1,4,1981.96
0,4,2,0,7,4,1981.96
0,4,2,0,6,4,2642.62
0,4,2,0,3,4,2642.62
0,4,2,0,8,4,660.654
