switch_id,used_rules,usage
38,548,0.745578
37,756,1.02857
36,796,1.08299
35,1112,1.51293
34,856,1.16463
33,1582,2.15238
32,638,0.868027
31,634,0.862585
30,1384,1.88299
29,750,1.02041
28,607,0.82585
27,1325,1.80272
26,875,1.19048
25,1620,2.20408
24,1069,1.45442
23,1493,2.03129
22,1198,1.62993
21,894,1.21633
20,859,1.16871
19,805,1.09524
18,1075,1.46259
17,1402,1.90748
16,1315,1.78912
15,1036,1.40952
14,1031,1.40272
13,1268,1.72517
12,1220,1.65986
11,723,0.983673
10,1142,1.55374
9,1872,2.54694
8,1460,1.98639
7,747,1.01633
6,1034,1.4068
5,975,1.32653
4,1189,1.61769
3,1115,1.51701
2,777,1.05714
1,747,1.01633
0,784,1.06667
