switch_id,used_rules,usage
38,1447,1.96871
37,2063,2.8068
36,2127,2.89388
35,3373,4.58912
34,2407,3.27483
33,3955,5.38095
32,1614,2.19592
31,1678,2.28299
30,3176,4.32109
29,1518,2.06531
28,1289,1.75374
27,3260,4.43537
26,2379,3.23673
25,3804,5.17551
24,2645,3.59864
23,3536,4.81088
22,3038,4.13333
21,2698,3.67075
20,2574,3.50204
19,2015,2.7415
18,2984,4.05986
17,4181,5.68844
16,3264,4.44082
15,2515,3.42177
14,2896,3.94014
13,3555,4.83673
12,3677,5.00272
11,1914,2.60408
10,2899,3.94422
9,5160,7.02041
8,4238,5.76599
7,2036,2.77007
6,2739,3.72653
5,2750,3.7415
4,3428,4.66395
3,3171,4.31429
2,2411,3.28027
1,2296,3.12381
0,2463,3.35102
