switch_id,used_rules,usage
38,1447,0.983685
37,2063,1.40245
36,2127,1.44596
35,3373,2.293
34,2407,1.6363
33,3955,2.68865
32,1614,1.09721
31,1678,1.14072
30,3176,2.15908
29,1518,1.03195
28,1289,0.876275
27,3260,2.21618
26,2379,1.61727
25,3804,2.586
24,2645,1.7981
23,3536,2.40381
22,3038,2.06526
21,2698,1.83413
20,2574,1.74983
19,2015,1.36982
18,2984,2.02855
17,4181,2.84228
16,3264,2.2189
15,2515,1.70972
14,2896,1.96873
13,3555,2.41672
12,3677,2.49966
11,1914,1.30116
10,2899,1.97077
9,5160,3.50782
8,4238,2.88103
7,2036,1.38409
6,2739,1.862
5,2750,1.86948
4,3428,2.33039
3,3171,2.15568
2,2411,1.63902
1,2296,1.56084
0,2463,1.67437
