switch_id,used_rules,usage
34,312,0.52437
33,311,0.522689
32,692,1.16303
31,228,0.383193
30,381,0.640336
29,330,0.554622
28,807,1.3563
27,369,0.620168
26,324,0.544538
25,455,0.764706
24,430,0.722689
23,367,0.616807
22,564,0.947899
21,301,0.505882
20,192,0.322689
19,260,0.436975
18,304,0.510924
17,633,1.06387
16,307,0.515966
15,382,0.642017
14,511,0.858824
13,341,0.573109
12,251,0.421849
11,388,0.652101
10,152,0.255462
9,469,0.788235
8,494,0.830252
7,305,0.512605
6,587,0.986555
5,173,0.290756
4,385,0.647059
3,572,0.961345
2,446,0.74958
1,431,0.72437
0,228,0.383193
