switch_id,used_rules,usage
39,284,0.728205
38,336,0.861538
37,285,0.730769
36,261,0.669231
35,301,0.771795
34,214,0.548718
33,400,1.02564
32,149,0.382051
31,187,0.479487
30,202,0.517949
29,281,0.720513
28,251,0.64359
27,239,0.612821
26,238,0.610256
25,217,0.55641
24,386,0.989744
23,169,0.433333
22,310,0.794872
21,154,0.394872
20,261,0.669231
19,108,0.276923
18,212,0.54359
17,103,0.264103
16,155,0.397436
15,184,0.471795
14,101,0.258974
13,201,0.515385
12,134,0.34359
11,169,0.433333
10,188,0.482051
9,316,0.810256
8,147,0.376923
7,96,0.246154
6,208,0.533333
5,267,0.684615
4,201,0.515385
3,242,0.620513
2,102,0.261538
1,270,0.692308
0,143,0.366667
