switch_id,used_rules,usage
64,4350,5.39033
63,0,0
62,7043,8.72739
61,1001,1.2404
60,3123,3.86989
59,2187,2.71004
58,9211,11.4139
57,3120,3.86617
56,637,0.789343
55,515,0.638166
54,5690,7.05081
53,2448,3.03346
52,2580,3.19703
51,3574,4.42875
50,4388,5.43742
49,1199,1.48575
48,5904,7.31599
47,3231,4.00372
46,5635,6.98265
45,5331,6.60595
44,9333,11.5651
43,0,0
42,3393,4.20446
41,6233,7.72367
40,4226,5.23668
39,7086,8.78067
38,5898,7.30855
37,5378,6.66419
36,2849,3.53036
35,1199,1.48575
34,6577,8.14994
33,0,0
32,7899,9.7881
31,2431,3.01239
30,7812,9.6803
29,11307,14.0112
28,2328,2.88476
27,9362,11.601
26,4298,5.3259
25,5244,6.49814
24,6263,7.76084
23,8930,11.0657
22,3471,4.30112
21,2461,3.04957
20,1917,2.37546
19,2112,2.6171
18,2854,3.53656
17,0,0
16,4120,5.10533
15,3842,4.76084
14,5330,6.60471
13,4755,5.89219
12,8283,10.2639
11,2187,2.71004
10,660,0.817844
9,11095,13.7485
8,2983,3.69641
7,2808,3.47955
6,742,0.919455
5,2447,3.03222
4,2710,3.35812
3,4062,5.03346
2,2259,2.79926
1,6006,7.44238
0,3618,4.48327
