switch_id,used_rules,usage
36,3084,4.63063
35,4355,6.53904
34,3002,4.50751
33,3265,4.9024
32,2379,3.57207
31,1520,2.28228
30,1737,2.60811
29,1281,1.92342
28,5215,7.83033
27,3575,5.36787
26,4011,6.02252
25,2459,3.69219
24,1633,2.45195
23,3302,4.95796
22,3038,4.56156
21,4651,6.98348
20,1981,2.97447
19,2982,4.47748
18,2949,4.42793
17,1980,2.97297
16,1832,2.75075
15,2798,4.2012
14,1965,2.95045
13,1277,1.91742
12,2886,4.33333
11,1236,1.85586
10,1221,1.83333
9,2811,4.22072
8,2943,4.41892
7,2122,3.18619
6,2387,3.58408
5,932,1.3994
4,4884,7.33333
3,2742,4.11712
2,2146,3.22222
1,2853,4.28378
0,1843,2.76727
