switch_id,used_rules,usage
36,682,1.02402
35,755,1.13363
34,487,0.731231
33,562,0.843844
32,547,0.821321
31,313,0.46997
30,323,0.484985
29,343,0.515015
28,1129,1.6952
27,532,0.798799
26,893,1.34084
25,454,0.681682
24,324,0.486486
23,859,1.28979
22,724,1.08709
21,1008,1.51351
20,498,0.747748
19,594,0.891892
18,800,1.2012
17,509,0.764264
16,306,0.459459
15,466,0.6997
14,565,0.848348
13,347,0.521021
12,708,1.06306
11,310,0.465465
10,346,0.51952
9,718,1.07808
8,474,0.711712
7,439,0.659159
6,580,0.870871
5,232,0.348348
4,1208,1.81381
3,472,0.708709
2,522,0.783784
1,496,0.744745
0,541,0.812312
