switch_id,used_rules,usage
36,1917,2.87838
35,2426,3.64264
34,1689,2.53604
33,1803,2.70721
32,1389,2.08559
31,896,1.34535
30,963,1.44595
29,799,1.1997
28,3044,4.57057
27,1901,2.85435
26,2367,3.55405
25,1380,2.07207
24,1004,1.50751
23,2114,3.17417
22,1943,2.91742
21,2711,4.07057
20,1173,1.76126
19,1744,2.61862
18,1775,2.66517
17,1135,1.7042
16,982,1.47447
15,1627,2.44294
14,1182,1.77477
13,800,1.2012
12,1744,2.61862
11,749,1.12462
10,769,1.15465
9,1813,2.72222
8,1549,2.32583
7,1240,1.86186
6,1407,2.11261
5,542,0.813814
4,3050,4.57958
3,1454,2.18318
2,1291,1.93844
1,1639,2.46096
0,1121,1.68318
