source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,30.2211,195,0.15498,2,2,2,2
0,2,1,24.4869,158,0.15498,1,1,1,1
0,3,2,20.1541,174,0.115828,4,3.5,3,4
0,4,3,15.653,101,0.15498,3,2.66667,2,3
0,5,4,30.6861,198,0.15498,2,1.5,1,2
0,6,5,24.4869,158,0.15498,5,3.8,2,4
0,7,6,28.2064,182,0.15498,2,3,3,2
0,8,7,23.867,154,0.15498,3,2.66667,2,3
0,9,8,27.1215,175,0.15498,2,3,2,2
0,10,9,18.9076,122,0.15498,2,1.5,1,2
0,11,10,17.6677,114,0.15498,9,4.55556,3,9
1,2,11,27.7415,179,0.15498,1,1,1,1
1,3,12,18.1327,117,0.15498,3,3,3,3
1,4,13,16.2729,105,0.15498,1,2,2,1
1,5,14,24.6419,159,0.15498,3,3,2,2
1,6,15,29.0344,198,0.146639,8,4.5,2,8
1,7,16,29.2913,189,0.15498,2,2,1,2
1,8,17,25.7267,166,0.15498,5,4,3,5
1,9,18,22.0072,142,0.15498,2,2,2,2
1,10,19,21.2323,137,0.15498,3,2.66667,1,3
1,11,20,23.4346,163,0.14377,10,5.4,2,7
2,3,21,20.3024,131,0.15498,9,4.33333,4,9
2,4,22,24.6419,159,0.15498,4,3.5,3,4
2,5,23,25.4168,164,0.15498,3,2.66667,2,3
2,6,24,19.8375,128,0.15498,8,4.25,3,8
2,7,25,30.2211,195,0.15498,2,2,2,2
2,8,26,20.1474,130,0.15498,5,3.8,3,5
2,9,27,16.2729,105,0.15498,2,2,1,2
2,10,28,26.3288,173,0.15219,3,2.33333,2,3
2,11,29,24.3319,157,0.15498,2,3,3,2
3,4,30,30.0662,194,0.15498,1,1,1,1
3,5,31,19.3725,125,0.15498,2,3,3,1
3,6,32,17.0478,110,0.15498,1,1,1,1
3,7,33,20.4574,132,0.15498,2,2.5,2,2
3,8,34,24.6419,159,0.15498,1,2,2,1
3,9,35,16.8928,109,0.15498,2,3.5,3,2
3,10,36,19.5275,126,0.15498,1,2,2,1
3,11,37,15.498,100,0.15498,2,1.5,1,2
4,5,38,19.2176,124,0.15498,2,2,2,2
4,6,39,16.4279,106,0.15498,2,2,2,2
4,7,40,21.0773,136,0.15498,6,4,3,5
4,8,41,22.3172,144,0.15498,1,1,1,1
4,9,42,26.0367,168,0.15498,6,4.66667,4,6
4,10,43,18.4426,119,0.15498,1,1,1,1
4,11,44,19.6825,127,0.15498,4,3,2,4
5,6,45,16.2729,105,0.15498,3,3.33333,2,3
5,7,46,22.7821,147,0.15498,5,4.4,3,4
5,8,47,21.6972,140,0.15498,1,1,1,1
5,9,48,30.6861,198,0.15498,8,5.125,3,6
5,10,49,16.1179,104,0.15498,1,1,1,1
5,11,50,17.5128,113,0.15498,4,4,3,4
6,7,51,26.1917,169,0.15498,2,2.5,2,2
6,8,52,28.9813,187,0.15498,2,3,3,1
6,9,53,30.3761,196,0.15498,2,3.5,3,2
6,10,54,29.9112,193,0.15498,1,1,1,1
6,11,55,23.402,151,0.15498,2,1.5,1,2
7,8,56,16.2883,106,0.153663,8,5,4,5
7,9,57,19.3725,125,0.15498,1,1,1,1
7,10,58,28.8737,194,0.148834,6,3.83333,2,6
7,11,59,30.0662,194,0.15498,1,1,1,1
8,9,60,18.7079,123,0.152097,6,5.33333,4,6
8,10,61,28.0514,181,0.15498,2,2,2,2
8,11,62,29.9112,193,0.15498,6,4.16667,3,5
9,10,63,19.6482,181,0.108554,4,3.5,3,4
9,11,64,30.2211,195,0.15498,1,2,2,1
10,11,65,21.8522,141,0.15498,4,3,2,4
