source,destination,length,path
0,1,1,0,1,1
0,1,2,0,9,1,0
0,1,2,0,2,1,0
0,1,3,0,8,3,1,0
0,4,2,0,7,4,1
0,4,2,0,8,4,-1.35975e-16
0,4,2,0,2,4,6.10623e-16
0,4,3,0,10,1,4,0
0,4,3,0,9,7,4,0
0,4,2,0,6,4,0.5
0,4,2,0,1,4,-2.09709e-16
0,4,3,0,10,7,4,0
0,5,2,0,9,5,1
0,5,2,0,2,5,0.5
0,5,2,0,1,5,0
0,5,3,0,8,3,5,0
0,5,2,0,10,5,0
0,5,2,0,7,5,0
0,7,1,0,7,8.32667e-16
0,7,2,0,10,7,0.5
0,7,3,0,2,10,7,0.5
0,7,2,0,9,7,1.16573e-16
0,7,4,0,8,3,1,7,1
1,2,1,1,2,0.5
1,2,2,1,7,2,0
1,2,2,1,10,2,0
4,5,1,4,5,1
4,5,2,4,1,5,0
4,5,2,4,7,5,0
4,5,2,4,3,5,0
4,5,2,4,2,5,0
4,6,1,4,6,0.5
4,6,2,4,3,6,0.5
4,6,2,4,8,6,0
4,6,2,4,7,6,4.9533e-16
3,4,1,3,4,0.5
3,4,2,3,1,4,0
3,4,2,3,7,4,0
3,9,1,3,9,0.5
3,9,2,3,5,9,0
3,9,2,3,8,9,7.30038e-16
0,10,1,0,10,0.5
0,10,2,0,6,10,0
0,10,2,0,8,10,0
0,10,2,0,2,10,0
10,5,1,10,5,1
10,5,2,10,3,5,0.5
10,5,2,10,2,5,0
10,5,2,10,1,5,0
10,6,1,10,6,1
10,6,2,10,3,6,0
10,6,2,10,8,6,0
0,6,1,0,6,0.5
0,6,2,0,9,6,0
6,8,1,6,8,1
6,8,2,6,9,8,1
6,8,2,6,4,8,0
2,9,1,2,9,1
2,9,2,2,8,9,0.5
2,9,2,2,1,9,1
2,9,3,2,4,8,9,4.44089e-16
1,9,1,1,9,-2.22045e-16
1,9,2,1,5,9,1
1,9,2,1,7,9,1.11022e-16
1,9,3,1,3,5,9,-2.22045e-16
3,8,1,3,8,0.5
7,9,1,7,9,1
7,9,2,7,5,9,0
7,9,2,7,3,9,0.5
7,9,3,7,4,8,9,0
7,9,2,7,6,9,-4.66301e-16
2,3,2,2,8,3,0
2,3,2,2,1,3,0
2,3,2,2,4,3,0.5
2,3,3,2,4,7,3,-4.42292e-16
2,3,2,2,5,3,0
2,3,2,2,7,3,0
2,3,2,2,10,3,0
2,6,2,2,7,6,1
2,6,2,2,8,6,0
2,6,2,2,0,6,0
2,6,2,2,9,6,0
2,6,3,2,10,7,6,0
2,6,2,2,4,6,0.5
2,6,3,2,4,8,6,0
2,6,3,2,1,3,6,1.11022e-16
10,8,1,10,8,1
10,8,2,10,0,8,1.66533e-16
10,8,3,10,1,4,8,1
10,8,2,10,2,8,0.5
6,7,1,6,7,1
6,7,2,6,3,7,0.5
6,7,2,6,9,7,0
6,7,2,6,4,7,0
