source,destination,length,path
0,1,1,0,1,0.8
0,1,2,0,9,1,0
0,1,3,0,8,3,1,0
0,1,2,0,2,1,0
0,4,2,0,7,4,1
0,4,2,0,8,4,0.2
0,4,2,0,2,4,0
0,4,3,0,10,2,4,0
0,5,2,0,9,5,1
0,5,2,0,2,5,-8.32667e-17
0,5,3,0,6,3,5,0.2
0,5,2,0,1,5,0
0,5,3,0,10,3,5,0
0,7,1,0,7,-4.44089e-16
0,7,2,0,10,7,0.6
0,7,2,0,9,7,0
0,7,3,0,2,1,7,1
1,2,1,1,2,0.4
1,2,2,1,10,2,0
1,2,2,1,4,2,0
4,5,1,4,5,0.8
4,5,2,4,1,5,0
4,5,2,4,3,5,0
4,5,2,4,7,5,0
4,6,1,4,6,0.8
4,6,2,4,3,6,0
4,6,2,4,8,6,0
4,6,2,4,7,6,0
3,4,1,3,4,0.4
3,4,2,3,1,4,0
3,9,1,3,9,0.4
3,9,2,3,8,9,0
3,9,2,3,6,9,0
0,10,1,0,10,0.4
0,10,2,0,8,10,0
0,10,2,0,2,10,0
0,10,2,0,6,10,0
10,5,1,10,5,1
10,5,2,10,1,5,0.2
10,5,2,10,7,5,0
10,6,1,10,6,0.8
10,6,2,10,3,6,0
0,6,1,0,6,0.4
6,8,1,6,8,1
6,8,2,6,9,8,0.6
6,8,2,6,4,8,0
2,9,1,2,9,1
2,9,2,2,5,9,1
1,9,1,1,9,0.8
1,9,2,1,7,9,0
1,9,2,1,3,9,0
3,8,1,3,8,0.4
7,9,1,7,9,1
7,9,2,7,5,9,0
7,9,3,7,2,8,9,0.2
7,9,2,7,3,9,-7.77156e-16
2,3,2,2,8,3,0.4
2,3,2,2,1,3,0
2,3,2,2,10,3,0
2,3,2,2,7,3,0
2,6,2,2,7,6,1
2,6,2,2,8,6,0.2
2,6,2,2,4,6,0
2,6,3,2,8,9,6,0
2,6,2,2,10,6,0
10,8,1,10,8,1
10,8,3,10,1,4,8,0.8
10,8,2,10,2,8,0.2
6,7,1,6,7,1
6,7,2,6,4,7,0.2
6,7,2,6,3,7,0
6,7,2,6,9,7,0
