source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
5,10,0,236.539,3580,0.0660723,2,4,3,2
2,0,1,183.02,2770,0.0660723,2,3.5,3,2
4,10,2,115.296,1745,0.0660723,2,3,3,2
7,6,3,182.756,2766,0.0660723,2,2.5,2,2
7,8,4,790.82,11969,0.0660723,2,5,4,1
4,7,5,1086.03,16437,0.0660723,1,1,1,1
5,2,6,1796.31,27187,0.0660723,1,1,1,1
7,10,7,639.845,9684,0.0660723,1,2,2,1
7,9,8,1513.45,22906,0.0660723,1,1,1,1
3,0,9,108.491,1642,0.0660723,2,4,4,2
4,0,10,54.9722,832,0.0660723,1,2,2,1
0,6,11,41.6256,630,0.0660723,2,3,3,2
2,3,12,2072.23,31363,0.0660723,3,4.66667,3,1
6,8,13,252.595,3823,0.0660723,3,3.66667,3,3
4,5,14,220.483,3337,0.0660723,2,2,2,2
3,5,15,508.361,7694,0.0660723,1,2,2,1
11,8,16,2647.45,40069,0.0660723,1,1,1,1
6,11,17,297.788,4507,0.0660723,2,3,3,2
9,8,18,359.896,5447,0.0660723,4,5.75,5,4
11,3,19,1061.25,16062,0.0660723,2,4,4,2
6,10,20,128.577,1946,0.0660723,1,2,2,1
3,6,21,275.191,4165,0.0660723,1,1,1,1
5,8,22,1235.22,18695,0.0660723,2,2.5,2,2
0,5,23,52.1311,789,0.0660723,1,2,2,1
8,9,24,341.528,5169,0.0660723,4,5.5,5,3
1,8,25,580.313,8783,0.0660723,1,2,2,1
0,9,26,15.3949,233,0.0660723,2,4.5,4,1
9,3,27,338.819,5128,0.0660723,2,1.5,1,1
11,6,28,669.313,10130,0.0660723,2,3,3,2
1,11,29,2454.59,37150,0.0660723,1,1,1,1
6,7,30,183.879,2783,0.0660723,2,2.5,2,2
6,4,31,191.147,2893,0.0660723,1,1,1,1
8,7,32,2257.49,34167,0.0660723,3,6,4,2
8,2,33,8082.43,122327,0.0660723,1,1,1,1
10,4,34,512.325,7754,0.0660723,2,3,3,1
6,3,35,261.779,3962,0.0660723,1,1,1,1
5,6,36,319.856,4841,0.0660723,1,1,1,1
0,11,37,365.909,5538,0.0660723,1,2,2,1
2,10,38,335.78,5082,0.0660723,2,5.5,4,1
2,8,39,1577.94,23882,0.0660723,1,1,1,1
10,8,40,851.606,12889,0.0660723,3,5.66667,5,3
6,9,41,80.1458,1213,0.0660723,1,2,2,1
8,6,42,455.503,6894,0.0660723,3,3.66667,3,3
10,3,43,493.494,7469,0.0660723,1,1,1,1
9,2,44,459.93,6961,0.0660723,2,4.5,4,2
9,0,45,42.6827,646,0.0660723,2,4.5,4,1
10,2,46,1610.25,24371,0.0660723,1,4,4,1
5,11,47,881.537,13342,0.0660723,1,2,2,1
11,7,48,2915.05,44119,0.0660723,2,4.5,3,2
7,0,49,88.3387,1337,0.0660723,1,3,3,1
7,5,50,786.657,11906,0.0660723,2,3.5,3,2
5,3,51,711.665,10771,0.0660723,1,2,2,1
11,5,52,664.357,10055,0.0660723,1,2,2,1
9,4,53,190.487,2883,0.0660723,2,2.5,2,2
1,4,54,3704.48,56067,0.0660723,1,1,1,1
8,1,55,1188.71,17991,0.0660723,2,2.5,2,2
4,3,56,96.0692,1454,0.0660723,1,2,2,1
0,2,57,206.674,3128,0.0660723,2,3.5,3,1
1,7,58,4560.05,69016,0.0660723,3,4.33333,2,2
7,4,59,10676,161581,0.0660723,1,1,1,1
3,11,60,679.884,10290,0.0660723,2,4,4,2
2,1,61,2427.3,36737,0.0660723,2,2.5,2,2
5,0,62,131.616,1992,0.0660723,1,2,2,1
6,1,63,132.211,2001,0.0660723,2,2,2,2
4,11,64,997.362,15095,0.0660723,1,2,2,1
11,10,65,523.954,7930,0.0660723,2,5,5,1
11,1,66,1685.04,25503,0.0660723,1,1,1,1
1,2,67,405.816,6142,0.0660723,2,2.5,2,2
5,7,68,1477.77,22366,0.0660723,2,3.5,3,2
4,1,69,1723.76,26089,0.0660723,1,1,1,1
9,7,70,633.568,9589,0.0660723,1,1,1,1
8,0,71,71.0938,1076,0.0660723,2,3.5,3,1
1,5,72,600.862,9094,0.0660723,1,1,1,1
3,2,73,925.806,14012,0.0660723,1,3,3,1
2,5,74,956.133,14471,0.0660723,1,1,1,1
11,4,75,1769.35,26779,0.0660723,1,2,2,1
10,9,76,1727.33,26143,0.0660723,1,1,1,1
8,10,77,573.904,8686,0.0660723,3,5.66667,5,2
7,2,78,28078.7,424969,0.0660723,5,4.8,4,3
10,11,79,1068.92,16178,0.0660723,2,5,5,2
3,1,80,226.232,3424,0.0660723,2,3,3,2
9,11,81,261.779,3962,0.0660723,3,4.66667,4,2
9,5,82,220.549,3338,0.0660723,2,3.5,3,2
3,7,83,505.586,7652,0.0660723,1,2,2,1
10,6,84,893.1,13517,0.0660723,1,2,2,1
11,9,85,410.111,6207,0.0660723,2,4.5,4,2
1,10,86,172.052,2604,0.0660723,2,4,4,1
1,0,87,141.791,2146,0.0660723,1,1,1,1
7,3,88,426.761,6459,0.0660723,2,2.5,2,2
2,6,89,2228.88,33734,0.0660723,2,3.5,2,1
2,4,90,21782.3,329673,0.0660723,3,3.33333,3,3
10,1,91,2731.36,41339,0.0660723,3,4,4,3
0,7,92,67.1295,1016,0.0660723,2,4,3,2
11,0,93,130.955,1982,0.0660723,1,2,2,1
2,9,94,237.993,3602,0.0660723,3,6,4,2
10,0,95,61.5794,932,0.0660723,3,5,5,3
0,4,96,115.891,1754,0.0660723,2,3,2,2
5,1,97,529.636,8016,0.0660723,1,1,1,1
1,9,98,143.641,2174,0.0660723,3,3.66667,3,3
0,10,99,16.452,249,0.0660723,2,5,5,2
3,4,100,505.387,7649,0.0660723,1,2,2,1
6,5,101,251.075,3800,0.0660723,1,1,1,1
0,1,102,75.3225,1140,0.0660723,1,1,1,1
2,11,103,1446.72,21896,0.0660723,1,2,2,1
9,6,104,132.541,2006,0.0660723,1,2,2,1
3,9,105,1456.9,22050,0.0660723,2,1.5,1,1
4,9,106,41.6256,630,0.0660723,1,2,2,1
4,8,107,451.935,6840,0.0660723,1,3,3,1
4,2,108,853.192,12913,0.0660723,3,3.33333,3,3
5,4,109,971.396,14702,0.0660723,2,2,2,2
4,6,110,133.863,2026,0.0660723,1,1,1,1
7,1,111,2939.16,44484,0.0660723,3,4.33333,2,1
7,11,112,4704.15,71197,0.0660723,3,5,3,2
3,10,113,427.488,6470,0.0660723,1,1,1,1
10,7,114,2409.53,36468,0.0660723,1,2,2,1
1,3,115,222.003,3360,0.0660723,2,3,3,2
1,6,116,160.49,2429,0.0660723,2,2,2,2
10,5,117,1952.77,29555,0.0660723,1,3,3,1
8,11,118,3170.15,47980,0.0660723,1,1,1,1
9,1,119,63.0991,955,0.0660723,3,3.66667,3,1
8,4,120,2180.26,32998,0.0660723,2,4,3,2
0,8,121,75.9171,1149,0.0660723,1,3,3,1
11,2,122,2285.9,34597,0.0660723,1,2,2,1
6,2,123,516.355,7815,0.0660723,2,3.5,2,1
5,9,124,138.355,2094,0.0660723,2,4,3,1
0,3,125,27.42,415,0.0660723,2,4,4,2
2,7,126,25503.3,385991,0.0660723,6,5.5,4,2
8,5,127,579.653,8773,0.0660723,2,2.5,2,2
3,8,128,408.129,6177,0.0660723,3,4.66667,4,3
6,0,129,49.2239,745,0.0660723,2,3,3,2
9,10,130,405.618,6139,0.0660723,1,1,1,1
8,3,131,158.194,11677,0.0135475,3,4.66667,4,3
