source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
5,10,0,237.009,3580,0.0662037,2,4,3,2
2,0,1,183.384,2770,0.0662037,2,3.5,3,2
4,10,2,115.526,1745,0.0662037,2,3,3,1
7,6,3,183.12,2766,0.0662037,3,3,2,2
7,8,4,792.393,11969,0.0662037,3,5.66667,4,1
4,7,5,1088.19,16437,0.0662037,1,1,1,1
5,2,6,1799.88,27187,0.0662037,1,1,1,1
7,10,7,641.117,9684,0.0662037,1,2,2,1
7,9,8,1516.46,22906,0.0662037,1,1,1,1
3,0,9,108.707,1642,0.0662037,2,4,4,2
4,0,10,55.0815,832,0.0662037,1,2,2,1
0,6,11,41.7084,630,0.0662037,2,3,3,2
2,3,12,2076.35,31363,0.0662037,2,4.5,3,2
6,8,13,253.097,3823,0.0662037,3,3.66667,3,3
4,5,14,220.922,3337,0.0662037,2,2,2,2
3,5,15,509.372,7694,0.0662037,1,2,2,1
11,8,16,2652.72,40069,0.0662037,1,1,1,1
6,11,17,298.38,4507,0.0662037,2,3,3,2
9,8,18,360.612,5447,0.0662037,5,5.8,5,3
11,3,19,1063.36,16062,0.0662037,2,4,4,2
6,10,20,128.832,1946,0.0662037,1,2,2,1
3,6,21,275.739,4165,0.0662037,1,1,1,1
5,8,22,1237.68,18695,0.0662037,2,2.5,2,2
0,5,23,52.2347,789,0.0662037,1,2,2,1
8,9,24,342.207,5169,0.0662037,5,6,5,4
1,8,25,581.467,8783,0.0662037,1,2,2,1
0,9,26,15.4255,233,0.0662037,3,5,4,3
9,3,27,339.493,5128,0.0662037,2,1.5,1,2
11,6,28,670.644,10130,0.0662037,2,3,3,2
1,11,29,2459.47,37150,0.0662037,1,1,1,1
6,7,30,184.245,2783,0.0662037,3,3,2,3
6,4,31,191.527,2893,0.0662037,1,1,1,1
8,7,32,2261.98,34167,0.0662037,3,5.66667,4,2
8,2,33,8098.5,122327,0.0662037,1,1,1,1
10,4,34,513.344,7754,0.0662037,2,3,3,1
6,3,35,262.299,3962,0.0662037,1,1,1,1
5,6,36,320.492,4841,0.0662037,1,1,1,1
0,11,37,366.636,5538,0.0662037,1,2,2,1
2,10,38,336.447,5082,0.0662037,2,5.5,4,2
2,8,39,1581.08,23882,0.0662037,1,1,1,1
10,8,40,853.3,12889,0.0662037,3,5.66667,5,3
6,9,41,80.3051,1213,0.0662037,2,2.5,2,2
8,6,42,456.409,6894,0.0662037,3,3.66667,3,3
10,3,43,494.476,7469,0.0662037,1,1,1,1
9,2,44,460.844,6961,0.0662037,2,4.5,4,1
9,0,45,42.7676,646,0.0662037,4,5,4,3
10,2,46,1613.45,24371,0.0662037,1,4,4,1
5,11,47,883.29,13342,0.0662037,1,2,2,1
11,7,48,2920.84,44119,0.0662037,2,4.5,3,1
7,0,49,88.5144,1337,0.0662037,1,3,3,1
7,5,50,788.222,11906,0.0662037,2,3.5,3,2
5,3,51,713.08,10771,0.0662037,1,2,2,1
11,5,52,665.679,10055,0.0662037,1,2,2,1
9,4,53,190.865,2883,0.0662037,3,3,2,2
1,4,54,3711.84,56067,0.0662037,1,1,1,1
8,1,55,1191.07,17991,0.0662037,1,2,2,1
4,3,56,96.2602,1454,0.0662037,1,2,2,1
0,2,57,207.085,3128,0.0662037,2,3.5,3,2
1,7,58,4569.12,69016,0.0662037,4,4.25,2,2
7,4,59,10697.3,161581,0.0662037,1,1,1,1
3,11,60,681.236,10290,0.0662037,2,4,4,2
2,1,61,2432.13,36737,0.0662037,2,2.5,2,2
5,0,62,131.878,1992,0.0662037,1,2,2,1
6,1,63,132.474,2001,0.0662037,2,2,2,2
4,11,64,999.345,15095,0.0662037,1,2,2,1
11,10,65,524.996,7930,0.0662037,2,5,5,1
11,1,66,1688.39,25503,0.0662037,1,1,1,1
1,2,67,406.623,6142,0.0662037,2,2.5,2,2
5,7,68,1480.71,22366,0.0662037,4,3.75,3,3
4,1,69,1727.19,26089,0.0662037,1,1,1,1
9,7,70,634.828,9589,0.0662037,1,1,1,1
8,0,71,71.2352,1076,0.0662037,1,3,3,1
1,5,72,602.057,9094,0.0662037,1,1,1,1
3,2,73,927.647,14012,0.0662037,1,3,3,1
2,5,74,958.034,14471,0.0662037,2,2.5,1,1
11,4,75,1772.87,26779,0.0662037,1,2,2,1
10,9,76,1730.76,26143,0.0662037,1,1,1,1
8,10,77,575.046,8686,0.0662037,3,5.66667,5,2
7,2,78,28134.5,424969,0.0662037,5,4.8,4,3
10,11,79,1071.04,16178,0.0662037,2,5,5,2
3,1,80,226.682,3424,0.0662037,2,3,3,2
9,11,81,262.299,3962,0.0662037,4,5,4,2
9,5,82,220.988,3338,0.0662037,3,3.66667,3,3
3,7,83,506.591,7652,0.0662037,2,2.5,2,2
10,6,84,894.876,13517,0.0662037,1,2,2,1
11,9,85,410.927,6207,0.0662037,3,5,4,3
1,10,86,172.395,2604,0.0662037,2,4,4,1
1,0,87,142.073,2146,0.0662037,1,1,1,1
7,3,88,427.61,6459,0.0662037,2,2.5,2,2
2,6,89,2233.32,33734,0.0662037,2,3.5,2,1
2,4,90,21825.6,329673,0.0662037,3,3.33333,3,3
10,1,91,2736.8,41339,0.0662037,3,4,4,2
0,7,92,67.263,1016,0.0662037,4,5.25,3,2
11,0,93,131.216,1982,0.0662037,1,2,2,1
2,9,94,238.466,3602,0.0662037,5,5.8,4,3
10,0,95,61.7019,932,0.0662037,3,5,5,3
0,4,96,116.121,1754,0.0662037,2,3,2,2
5,1,97,530.689,8016,0.0662037,1,1,1,1
1,9,98,143.927,2174,0.0662037,4,4,3,4
0,10,99,16.4847,249,0.0662037,3,5,5,2
3,4,100,506.392,7649,0.0662037,1,2,2,1
6,5,101,251.574,3800,0.0662037,2,2,1,1
